,Year,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,
,Gender,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,
Community Area,Community Area Name,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate 
1,Rogers Park,89,468.7,258,1522.1,108,580.6,217,1298.5,136,746.6,229,1390.1,84,471.2,224,1379.6,92,527.5,189,1181.3,76,445.6,184,1167.4,81,486,196,1262.6,79,485.2,212,1387,71,446.7,210,1395.5,84,541.7,192,1296.4,94,621.7,211,1448,116,767.2,222,1523.5,102,674.6,218,1496,135,892.9,203,1393.1,139,919.3,234,1605.8
2,West Ridge,21,127.5,69,439.9,31,189.3,66,422.9,51,313.2,71,457.2,32,197.6,67,433.7,36,223.5,100,650.6,36,224.8,95,621.3,41,257.5,133,874.4,37,233.7,113,746.8,30,190.6,123,817.1,26,166.2,97,647.8,47,302.1,98,657.9,71,456.4,171,1148,61,392.1,149,1000.3,72,462.8,164,1101,78,501.4,159,1067.5
3,Uptown,58,301,169,1079.7,93,489.8,157,1009.5,109,582.8,133,860.8,88,477.8,127,827.4,89,490.8,128,839.5,83,465,147,970.6,91,518,128,850.8,98,567.1,136,910.1,83,488.3,122,822,76,454.7,116,787,66,401.7,100,683.1,92,560,106,724.1,114,693.9,160,1093,144,876.4,135,922.2,189,1150.3,177,1209.1
4,Lincoln Square,13,108.1,51,431.3,11,92.4,59,501.8,21,178.4,45,385,24,206.1,43,370.1,24,208.4,52,450.2,31,272.3,67,583.6,12,106.6,41,359.3,24,215.7,57,502.6,24,218.2,55,487.9,16,147.2,46,410.6,25,232.8,62,556.8,26,242.1,59,529.9,32,298,64,574.8,27,251.4,66,592.7,34,316.6,72,646.6
5,North Center,11,113.3,26,277.1,18,186.7,35,373.1,14,146.3,28,298.5,16,168.4,30,319.9,13,137.8,41,437.3,21,224.3,32,341.4,15,161.4,35,373.5,13,141,29,309.5,17,185.7,34,362.9,13,143.1,32,341.6,10,110.9,40,427.1,13,144.2,42,448.5,27,299.5,36,384.4,29,321.7,36,384.4,46,510.3,39,416.4
6,Lake View,69,199.4,71,216,68,197.8,69,209.8,62,181.5,88,267.5,94,276.9,67,203.6,111,329,107,325,128,381.9,139,422.1,113,339.3,128,388.5,137,414.1,173,524.9,108,328.6,117,354.9,86,263.4,123,372.9,116,357.6,119,360.7,128,394.6,158,478.9,190,585.8,191,578.9,224,690.6,192,581.9,283,872.5,218,660.7
7,Lincoln Park,17,79.4,56,250.2,19,89.6,53,237.3,26,123.8,65,291.7,30,144.2,57,256.4,33,160.3,83,374.1,40,196.3,79,356.9,46,228.1,79,357.7,38,190.4,97,440.2,49,248.1,96,436.6,29,148.4,80,364.7,40,206.9,88,402.1,59,305.1,106,484.3,79,408.6,126,575.7,78,403.4,111,507.2,112,579.2,150,685.3
8,Near North Side,53,284.3,171,820.1,61,322.8,214,1010.3,114,595.1,207,962.3,77,396.7,227,1039.4,54,274.5,239,1078.1,83,416.6,208,924.5,72,356.8,174,762.3,69,337.6,197,850.8,76,367.3,180,766.4,64,305.5,179,751.6,80,377.2,201,832.5,110,518.7,275,1139,120,565.9,244,1010.6,108,509.3,215,890.5,165,778,204,844.9
