,,year,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Community Area,Community Area Name,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases
1,Rogers Park,258,217,229,224,189,184,196,212,210,192,211,222,218,203,234
2,West Ridge,69,66,71,67,100,95,133,113,123,97,98,171,149,164,159
3,Uptown,169,157,133,127,128,147,128,136,122,116,100,106,160,135,177
4,Lincoln Square,51,59,45,43,52,67,41,57,55,46,62,59,64,66,72
5,North Center,26,35,28,30,41,32,35,29,34,32,40,42,36,36,39
6,Lake View,71,69,88,67,107,139,128,173,117,123,119,158,191,192,218
7,Lincoln Park,56,53,65,57,83,79,79,97,96,80,88,106,126,111,150
8,Near North Side,171,214,207,227,239,208,174,197,180,179,201,275,244,215,204
9,Edison Park,,,,,,,,0,5,,,,6,5,13
10,Norwood Park,12,10,21,11,15,15,21,27,15,20,12,27,24,31,28
11,Jefferson Park,5,8,18,16,14,16,21,19,37,20,20,35,46,32,44
12,Forest Glen,,,9,7,12,13,9,,11,6,10,22,11,20,13
13,North Park,11,7,13,15,14,13,15,14,15,12,22,15,24,30,19
14,Albany Park,88,76,108,105,88,73,83,67,109,107,91,137,162,145,149
15,Portage Park,38,65,56,68,57,77,98,127,90,106,126,128,159,158,162
16,Irving Park,81,88,105,96,86,103,92,89,106,112,118,115,145,122,142
17,Dunning,16,19,21,23,26,22,35,46,45,43,41,47,62,53,54
18,Montclaire,16,9,15,18,28,29,24,30,17,29,30,25,40,34,53
19,Belmont Cragin,156,167,177,193,190,255,269,218,240,242,257,295,308,307,344
20,Hermosa,91,60,87,78,104,89,87,83,77,108,89,116,139,103,137
21,Avondale,66,73,84,102,112,104,117,85,88,112,101,106,95,121,136
22,Logan Square,193,211,209,243,217,243,260,225,225,213,250,238,261,225,261
23,Humboldt park,508,528,497,538,510,562,608,614,603,586,562,639,620,547,633
24,West Town,248,218,226,252,275,267,281,241,247,260,220,328,324,306,291
25,Austin,1136,1144,1172,1270,1349,1374,1509,1413,1436,1474,1413,1492,1548,1441,1298
26,West Garfield Park,270,320,250,283,276,339,351,325,371,351,331,385,406,377,359
27,East Garfield Park,266,287,262,303,296,347,394,318,323,309,341,402,400,388,317
28,Near West Side,340,359,293,314,340,327,332,305,335,384,393,499,537,418,397
29,North Lawndale,550,598,581,661,563,604,707,642,643,687,634,751,800,724,736
30,South Lawndale,278,326,268,360,304,330,383,365,341,408,351,399,415,404,406
31,Lower West Side,118,135,124,145,119,117,124,127,123,113,135,137,157,138,165
32,Loop,10,17,18,22,25,20,36,37,50,46,55,64,62,62,76
33,Near South Side,94,70,92,82,75,80,78,58,56,64,45,62,59,49,49
34,Armour Square,28,30,42,27,26,21,15,20,26,34,38,44,47,50,61
35,Douglas,254,236,184,183,178,185,157,135,124,147,137,144,179,141,175
36,Oakland,76,89,60,66,61,52,54,68,56,78,69,70,81,80,90
37,Fuller Park,40,45,47,46,42,45,39,34,49,45,33,45,56,47,32
38,Grand Boulevard,371,380,342,338,279,208,282,247,269,298,248,344,338,301,266
39,Kenwood,125,127,144,128,133,112,104,108,127,112,101,137,128,116,118
40,Washington Park,208,258,227,231,245,193,267,227,209,214,221,217,263,218,229
41,Hyde Park,73,79,70,73,90,75,68,72,80,54,62,62,70,63,57
42,Woodlawn,326,320,334,346,353,354,374,382,356,348,334,363,335,301,255
43,South Shore,610,688,618,608,589,625,627,638,592,650,594,697,638,557,650
44,Chatham,296,276,302,323,321,362,368,378,339,358,339,362,369,320,303
45,Avalon Park,69,76,73,74,97,97,106,76,94,93,70,98,82,87,84
46,South Chicago,315,336,330,339,283,374,353,382,341,386,314,385,374,319,304
47,Burnside,27,32,24,31,38,34,31,47,41,30,50,49,32,21,29
48,Calumet Heights,90,115,88,105,97,103,125,124,120,103,110,105,149,119,74
49,Roseland,494,486,474,511,490,508,535,532,532,517,530,613,569,477,447
50,Pullman,74,78,68,70,90,89,70,60,66,70,75,58,77,51,68
51,South Deering,106,125,111,129,101,112,117,94,95,122,134,117,130,128,129
52,East Side,36,53,53,55,58,59,38,48,77,56,54,61,84,83,74
53,West Pullman,347,352,335,398,386,418,411,447,405,360,362,396,380,292,356
54,Riverdale,108,91,77,123,96,117,105,98,67,72,57,78,137,122,112
55,Hegewisch,11,15,16,15,18,14,6,12,9,18,9,23,25,25,25
56,Garfield Ridge,51,48,67,77,58,83,86,83,107,95,64,69,73,71,101
57,Archer Heights,13,9,18,22,30,31,22,31,36,44,32,54,67,47,64
58,Brighton Park,79,102,89,155,101,119,151,145,159,159,150,192,164,174,203
59,McKinley Park,27,36,33,33,40,46,47,40,40,53,47,58,72,54,65
60,Bridgeport,43,48,36,43,60,59,59,70,61,70,53,65,77,77,77
61,New City,293,342,373,396,380,363,352,326,362,401,355,380,365,359,392
62,West Elsdon,12,19,21,31,29,31,42,47,42,53,42,65,59,70,63
63,Gage Park,89,124,118,153,134,150,153,158,167,180,163,206,211,203,217
64,Clearing,11,20,24,17,20,27,33,30,43,35,48,54,49,48,49
65,West Lawn,28,53,48,52,55,64,86,87,103,95,91,106,113,106,134
66,Chicago Lawn,377,434,442,467,465,465,522,503,493,501,573,573,645,519,593
67,West Englewood,559,643,547,673,593,583,587,627,611,621,629,680,703,596,592
68,Englewood,527,618,640,635,639,612,650,598,602,594,595,603,614,542,502
69,Greater Grand Crossing,393,444,436,394,482,479,511,548,530,539,490,561,546,471,516
70,Ashburn,106,121,120,157,176,183,219,190,187,200,223,199,220,200,179
71,Auburn Gresham,459,496,526,550,564,572,594,628,620,607,637,711,666,581,608
72,Beverly,32,36,44,50,36,55,56,48,41,42,56,55,53,38,42
73,Washington Heights,203,214,219,226,213,237,248,277,271,277,264,269,304,284,271
74,Mount Greenwood,5,10,10,16,11,8,20,7,12,26,15,29,24,18,32
75,Morgan Park,123,91,109,148,158,143,165,158,157,153,151,164,160,156,138
76,O'Hare,10,11,,6,5,6,11,13,17,6,9,12,19,12,18
77,Edgewater,106,102,107,97,75,83,77,59,89,85,99,130,101,99,90
99,Unknown,15,197,129,18,1483,1224,888,5,2352,3240,2293,1381,5,35,27
88,Chicago,13112,14176,13750,14684,15915,16152,16683,15400,17721,18921,17590,18691,17851,16040,16446
