,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Community Area,Community Area Name,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases
1,Rogers Park,84,88,85,70,45,51,58,56,46,56,53,47,58,45,40
2,West Ridge,14,17,12,19,28,26,28,25,25,17,18,21,40,33,16
3,Uptown,71,64,56,31,43,48,33,30,28,35,26,25,36,22,18
4,Lincoln Square,9,7,14,9,8,10,9,11,8,,9,11,9,,6
5,North Center,8,5,9,9,5,8,,8,5,6,16,8,6,5,<5
6,Lake View,18,17,17,16,37,31,17,21,22,22,17,27,45,19,9
7,Lincoln Park,25,22,16,16,25,16,17,18,16,14,15,11,13,9,8
8,Near North Side,102,117,141,104,94,84,57,49,79,66,42,59,60,42,21
9,Edison Park,,0,,,0,0,0,0,0,0,0,0,,0,<5
10,Norwood Park,,,,,,,,,,0,,,0,,0
11,Jefferson Park,,,,,5,,,,,,,,,,<5
12,Forest Glen,0,0,,0,0,,0,,,,,,0,,<5
13,North Park,,,,,0,,,5,,,,,,,<5
27,East Garfield Park,141,136,135,118,131,119,133,106,104,123,74,115,134,98,87
14,Albany Park,8,7,12,15,16,18,12,11,10,9,10,9,23,12,12
15,Portage Park,5,13,5,13,14,5,8,9,14,17,11,12,17,15,5
16,Irving Park,13,15,20,9,18,22,10,15,7,19,13,20,11,10,16
17,Dunning,,,5,,,,,,5,5,,,7,5,0
18,Montclaire,,,,,,,,,,,0,,5,5,6
19,Belmont Cragin,17,21,30,23,32,22,23,18,21,23,32,17,34,32,28
20,Hermosa,8,16,10,7,18,8,13,,13,11,11,9,12,5,12
21,Avondale,6,6,21,15,11,11,23,9,10,7,,8,8,6,7
22,Logan Square,27,37,44,47,64,48,32,29,30,30,29,44,38,19,13
23,Humboldt park,209,197,209,179,224,190,166,191,200,164,133,165,172,150,129
24,West Town,56,61,70,57,73,75,55,52,47,50,45,46,48,46,43
25,Austin,542,556,500,501,509,485,485,476,416,451,368,383,442,452,301
26,West Garfield Park,112,156,118,112,96,129,126,117,137,124,95,130,151,126,94
28,Near West Side,174,165,151,125,126,106,92,88,76,90,101,114,119,108,67
29,North Lawndale,267,346,274,260,239,194,192,219,202,224,181,216,287,213,171
30,South Lawndale,40,42,48,47,39,41,47,47,33,53,29,47,37,38,32
31,Lower West Side,14,18,12,20,16,12,8,10,11,13,7,8,17,5,15
32,Loop,5,9,7,6,10,11,10,8,9,11,9,13,15,7,<5
33,Near South Side,62,35,34,34,33,32,30,16,33,19,6,19,12,12,6
34,Armour Square,14,15,12,6,11,,,,7,9,6,6,8,9,<5
35,Douglas,159,150,89,85,80,66,49,53,61,40,47,47,57,41,43
36,Oakland,40,40,28,23,15,16,22,14,33,14,21,27,21,21,23
37,Fuller Park,17,12,19,23,15,23,22,18,20,17,15,6,15,12,10
38,Grand Boulevard,210,212,154,149,104,60,79,81,105,99,59,79,124,82,61
39,Kenwood,48,60,49,48,49,39,28,39,46,34,24,26,43,24,28
