,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Community Area,Community Area Name,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases
1,Rogers Park,89,108,136,84,92,76,81,79,71,84,94,116,102,135,139
2,West Ridge,21,31,51,32,36,36,41,37,30,26,47,71,61,72,78
3,Uptown,58,93,109,88,89,83,91,98,83,76,66,92,114,144,189
4,Lincoln Square,13,11,21,24,24,31,12,24,24,16,25,26,32,27,34
5,North Center,11,18,14,16,13,21,15,13,17,13,10,13,27,29,46
6,Lake View,69,68,62,94,111,128,113,137,108,86,116,128,190,224,283
7,Lincoln Park,17,19,26,30,33,40,46,38,49,29,40,59,79,78,112
8,Near North Side,53,61,114,77,54,83,72,69,76,64,80,110,120,108,165
9,Edison Park,0,,,,0,,0,0,,,,,,,7
10,Norwood Park,,,5,,,,5,,6,,13,9,14,13,10
11,Jefferson Park,,12,11,,,9,7,9,5,7,12,14,13,9,12
12,Forest Glen,,,,,,,6,6,,6,,8,7,6,
13,North Park,5,,9,6,8,8,5,7,,,,10,9,13,13
28,Near West Side,81,122,166,133,105,125,139,168,172,155,204,244,525,228,222
14,Albany Park,18,32,39,33,13,25,29,28,25,20,37,48,46,53,50
15,Portage Park,9,10,22,18,16,20,30,19,30,19,33,50,36,46,65
16,Irving Park,25,17,55,32,41,40,42,29,26,31,55,49,63,54,80
17,Dunning,,,10,7,5,,8,14,10,13,9,15,28,21,30
18,Montclaire,,,6,5,,9,5,,,,,9,12,13,9
19,Belmont Cragin,35,42,60,52,37,61,66,57,41,54,72,92,114,105,119
20,Hermosa,6,21,38,23,15,25,18,24,13,19,20,26,24,37,38
21,Avondale,10,21,35,34,21,25,30,33,28,24,35,33,41,47,69
22,Logan Square,43,53,81,74,44,96,89,61,61,49,67,74,111,99,127
23,Humboldt park,105,172,304,167,148,205,182,161,117,135,173,234,234,200,233
24,West Town,61,91,115,110,82,110,103,98,78,78,106,175,153,157,191
25,Austin,302,450,709,503,370,494,586,399,390,314,421,590,626,514,529
26,West Garfield Park,69,136,173,113,80,141,128,80,93,78,94,153,143,129,120
27,East Garfield Park,51,104,181,102,73,130,132,89,107,119,164,157,175,158,153
