,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Community Area,Community Area Name,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases
1,Rogers Park,115,112,125,83,64,63,58,62,74,63,57,64,102,100,112
2,West Ridge,23,29,27,22,14,20,23,26,16,11,20,32,37,30,33
3,Uptown,165,152,119,97,107,76,90,82,52,45,62,77,137,150,235
4,Lincoln Square,17,18,11,6,11,16,13,15,17,9,16,21,15,17,15
5,North Center,14,12,16,19,13,11,11,,7,8,7,17,18,16,17
6,Lake View,127,88,85,122,106,116,118,113,88,88,99,116,182,187,262
7,Lincoln Park,24,22,30,24,26,16,10,14,22,22,21,18,26,22,45
8,Near North Side,101,78,82,84,67,60,46,38,44,20,28,50,52,53,49
9,Edison Park,0,,,,0,,,0,0,0,,0,,0,<5
10,Norwood Park,0,5,,,,,,,,,,,,0,<5
11,Jefferson Park,,,5,,,,5,,,,,,,,<5
12,Forest Glen,,0,0,,,0,0,0,0,0,,,,,<5
13,North Park,,0,,6,,,0,5,,,,,,9,<5
14,Albany Park,15,17,19,10,8,10,10,17,14,15,12,14,17,21,19
15,Portage Park,8,10,13,11,6,6,6,9,9,,14,12,16,20,26
16,Irving Park,11,19,16,10,12,12,16,15,11,10,21,10,21,35,31
17,Dunning,,,,,,,,0,,,,6,,,9
18,Montclaire,,,,5,,,,,,,,,,,<5
19,Belmont Cragin,9,25,33,23,20,23,18,12,19,16,17,27,29,25,24
20,Hermosa,11,6,10,13,15,11,5,8,8,,5,7,12,5,9
21,Avondale,6,9,15,6,7,10,15,9,6,11,13,10,21,19,36
22,Logan Square,37,43,48,38,39,41,43,36,27,26,32,35,48,45,54
23,Humboldt park,244,186,218,171,143,139,116,145,107,93,88,118,122,106,80
24,West Town,76,78,92,63,68,51,43,59,45,34,45,50,73,64,64
25,Austin,660,602,605,442,379,405,378,369,340,260,239,316,358,348,225
26,West Garfield Park,146,128,128,93,93,107,88,73,90,46,60,83,95,94,57
