,Year,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,
,Gender,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,,M,,F,
Community Area,Community Area Name,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate ,Cases,Incidence Rate 
1,Rogers Park,115,605.6,84,495.6,112,602.1,88,526.6,125,686.2,85,516,83,465.6,70,431.1,64,367,45,281.3,63,369.4,51,323.6,58,348,58,373.6,62,380.8,56,366.4,74,465.6,46,305.7,63,406.3,56,378.1,57,377,53,363.7,64,423.3,47,322.5,102,674.6,58,398,100,661.4,45,308.8,112,740.7,40,274.5
2,West Ridge,23,139.7,14,89.3,29,177.1,17,108.9,27,165.8,12,77.3,22,135.8,19,123,14,86.9,28,182.2,20,124.9,26,170,23,144.5,28,184.1,26,164.2,25,165.2,16,101.7,25,166.1,11,70.3,17,113.5,20,128.6,18,120.8,32,205.7,21,141,37,237.8,40,268.5,30,192.8,33,221.6,33,212.1,16,107.4
3,Uptown,165,856.3,71,453.6,152,800.6,64,411.5,119,636.3,56,362.5,97,526.7,31,202,107,590.1,43,282,76,425.8,48,316.9,90,512.4,33,219.3,82,474.5,30,200.8,52,305.9,28,188.7,45,269.2,35,237.4,62,377.4,26,177.6,77,468.7,25,170.8,137,833.8,36,245.9,150,913,22,150.3,235,1430.3,18,123
4,Lincoln Square,17,141.3,9,76.1,18,151.2,7,59.5,11,93.4,14,119.8,6,51.5,9,77.5,11,95.5,8,69.3,16,140.5,10,87.1,13,115.5,9,78.9,15,134.8,11,97,17,154.6,8,71,9,82.8,,,16,149,9,80.8,21,195.5,11,98.8,15,139.7,9,80.8,17,158.3,,,15,139.7,6,53.9
5,North Center,14,144.2,8,85.3,12,124.5,5,53.3,16,167.2,9,96,19,200,9,96,13,137.8,5,53.3,11,117.5,8,85.3,11,118.4,,,,,8,85.4,7,76.5,5,53.4,8,88.1,6,64.1,7,77.7,16,170.8,17,188.6,8,85.4,18,199.7,6,64.1,16,177.5,5,53.4,17,188.6,<5,
6,Lake View,127,367.1,18,54.8,88,255.9,17,51.7,85,248.8,17,51.7,122,359.3,16,48.6,106,314.2,37,112.4,116,346.1,31,94.1,118,354.3,17,51.6,113,341.5,21,63.7,88,267.7,22,66.7,88,269.5,22,66.7,99,305.2,17,51.5,116,357.6,27,81.8,182,561.1,45,136.4,187,576.5,19,57.6,262,807.8,9,27.3
7,Lincoln Park,24,112,25,111.7,22,103.7,22,98.5,30,142.8,16,71.8,24,115.4,16,72,26,126.3,25,112.7,16,78.5,16,72.3,10,49.6,17,77,14,70.1,18,81.7,22,111.4,16,72.8,22,112.6,14,63.8,21,108.6,15,68.5,18,93.1,11,50.3,26,134.5,13,59.4,22,113.8,9,41.1,45,232.7,8,36.6
8,Near North Side,101,541.8,102,489.2,78,412.7,117,552.4,82,428.1,141,655.5,84,432.7,104,476.2,67,340.6,94,424,60,301.1,84,373.4,46,227.9,57,249.7,38,185.9,49,211.6,44,212.6,79,336.4,20,95.5,66,277.1,28,132,42,174,50,235.8,59,244.4,52,245.2,60,248.5,53,249.9,42,174,49,231.1,21,87
